Closing Date,Est. Value Notes,Description
"Tue, 04/04/2023 02:00 PM MDT","$2,500,000.00 to $5,000,000.00",Please contact the Resident Engineer ***T. MATT KOSTER P.E. (LHTAC)*** AT (208) 344-0565 or mkoster@lhtac.org for any design related questions.
"Tue, 04/04/2023 02:00 PM MDT","$250.00 to $500,000.00",Please contact the Resident Engineer ***KEVIN KUTHER P.E. (LHTAC)*** AT (208) 344-0565 or kkuther@lthac.org for any design related questions.
"Tue, 04/04/2023 02:00 PM MDT","$1,000,000.00 to $2,500,000.00",Please contact the Resident Engineer ***COREY KRANTZ P.E.*** AT (208) 239-3372 or corey.krantz@itd.idaho.gov for any design related questions.
"Tue, 04/11/2023 02:00 PM MDT","$0 to $100,000.00",Please contact the Operations Engineer ***MICHAEL GARZ*** AT (208) 334-8347 for any design-related questions.
"Tue, 04/11/2023 02:00 PM MDT","$10,000,000.00 to $15,000,000.00",Please contact the Resident Engineer ***JESSE WEBB P.E.*** AT (208) 799-4233 or jesse.webb@itd.idaho.gov for any design related questions.
"Tue, 04/11/2023 02:00 PM MDT","$100,000 to $500,000",Please contact the Resident Engineer ***AARON BAIRD P.E.*** AT (208) 234-3608 or aaron.baird@itd.idaho.gov for any design related questions.
"Tue, 04/11/2023 02:00 PM MDT","$100,000 to $250,000",Please contact the Resident Engineer ***SHAWN STRONG P.E.*** AT (208) 830-3610 or Shawn.Strong@itd.idaho.gov  for any design related questions.
"Tue, 04/11/2023 02:00 PM MDT","$100,000 to $250,000",Please contact the Resident Engineer ***JUSTIN WUEST P.E.*** AT (208) 772-1253 or justin.wuest@itd.idaho.gov for any design related questions.
"Tue, 04/11/2023 02:00 PM MDT","$100,000 to $250,000","Please contact the Resident Engineer ***Michael Garz P.E.*** AT (208) 334-8347 or 
Michael.Garz@itd.idaho.gov  for any design related questions."
"Tue, 04/18/2023 02:00 PM MDT","$0 to $250,000.00",Please contact the Resident Engineer ***KEVIN KUTHER P.E. (LHTAC)*** AT (208) 344-0565 or kkuther@lthac.org for any design related questions.
